signup_country_code,marketing_channel_id,signup_platform,gender,is_paid_channel_x,subscription_date,net_revenue,subscription_count,report_date,country_code,platform,is_paid_channel_y,spendings,net_earning,costumer_COA
AU,1.0,ios,male,False,2016-11-20,41.993,4,2016-11-20,AU,ios,False,0.0,41.993,0.0
CA,3.0,ios,female,True,2016-11-24,20.993000000000002,3,2016-11-24,CA,ios,True,80.52,-59.526999999999994,26.84
US,2.0,ios,female,True,2016-11-27,749.3380000000003,47,2016-11-27,US,ios,True,1337.9599999999996,-588.6219999999993,28.467234042553184
US,4.0,ios,male,True,2016-12-05,413.38,37,2016-12-05,US,ios,True,1065.13001704216,-651.75001704216,28.787297757896216
AE,1.0,android,female,False,2016-12-08,41.92742067451885,1,2016-12-08,AE,android,False,0.0,41.92742067451885,0.0
US,1.0,ios,male,False,2016-12-10,209.96500000000003,28,2016-12-10,US,ios,False,0.0,209.96500000000003,0.0
FR,1.0,ios,female,False,2016-12-13,62.986000000000004,9,2016-12-13,FR,ios,False,0.0,62.986000000000004,0.0
CH,18.0,ios,female,True,2016-12-29,0.0,1,2016-12-29,CH,ios,True,33.8499995470047,-33.8499995470047,33.8499995470047
NZ,2.0,android,female,True,2016-12-30,0.0,1,2016-12-30,NZ,android,True,38.49,-38.49,38.49
US,2.0,ios,male,True,2016-12-31,104.979,12,2016-12-31,US,ios,True,783.01,-678.031,65.25083333333333
US,2.0,ios,male,True,2017-01-01,1341.5790000000004,117,2017-01-01,US,ios,True,5869.879999999999,-4528.300999999999,50.16991452991452
US,1.0,ios,female,False,2017-01-04,1411.122,101,2017-01-04,US,ios,False,0.0,1411.122,0.0
CL,2.0,ios,female,True,2017-01-04,437.51000000000016,45,2017-01-04,CL,ios,True,551.49,-113.97999999999985,12.255333333333333
US,4.0,ios,female,True,2017-01-07,356.93000000000006,43,2017-01-07,US,ios,True,3684.089923381805,-3327.159923381805,85.67650984608849
PR,2.0,ios,male,True,2017-01-17,41.993,2,2017-01-17,PR,ios,True,65.24,-23.246999999999993,32.62
BH,1.0,ios,female,False,2017-01-19,41.993,1,2017-01-19,BH,ios,False,0.0,41.993,0.0
MX,2.0,ios,female,True,2017-01-19,83.986,14,2017-01-19,MX,ios,True,296.39,-212.404,21.170714285714286
DE,2.0,ios,female,True,2017-01-23,20.993000000000002,7,2017-01-23,DE,ios,True,403.03,-382.037,57.575714285714284
MX,6.0,ios,male,True,2017-01-30,41.993,4,2017-01-30,MX,ios,True,383.2300109863282,-341.2370109863282,95.80750274658205
GB,18.0,android,female,True,2017-01-01,171.11348480536378,15,2017-01-01,GB,android,True,337.04999957978725,-165.93651477442347,22.469999971985818
FR,1.0,ios,female,False,2016-10-09,125.97200000000001,31,2016-10-09,FR,ios,False,0.0,125.97200000000001,0.0
MX,1.0,android,female,False,2016-10-23,42.0,2,2016-10-23,MX,android,False,0.0,42.0,0.0
US,2.0,ios,female,True,2016-10-27,55.986000000000004,6,2016-10-27,US,ios,True,246.45,-190.464,41.074999999999996
AR,2.0,ios,female,True,2016-11-22,83.986,5,2016-11-22,AR,ios,True,74.6,9.38600000000001,14.919999999999998
AU,1.0,ios,female,False,2016-11-22,41.993,6,2016-11-22,AU,ios,False,0.0,41.993,0.0
PA,2.0,ios,male,True,2016-11-28,0.0,1,2016-11-28,PA,ios,True,10.65,-10.65,10.65
CH,1.0,ios,female,False,2016-11-29,0.0,3,2016-11-29,CH,ios,False,0.0,0.0,0.0
MX,6.0,ios,male,True,2017-01-31,125.979,4,2017-01-31,MX,ios,True,327.3399963378906,-201.36099633789064,81.83499908447266
CA,18.0,android,female,True,2016-12-08,0.0,2,2016-12-08,CA,android,True,68.27999895811081,-68.27999895811081,34.139999479055405
US,2.0,android,male,True,2016-12-14,168.0,26,2016-12-14,US,android,True,741.1199999999999,-573.1199999999999,28.50461538461538
US,1.0,ios,female,False,2016-12-18,377.93,34,2016-12-18,US,ios,False,0.0,377.93,0.0
US,4.0,ios,male,True,2016-12-26,293.958,33,2016-12-26,US,ios,True,2393.2500314712524,-2099.2920314712524,72.52272822640158
US,2.0,ios,male,True,2017-01-02,1138.1570000000004,106,2017-01-02,US,ios,True,8166.53,-7028.373,77.0427358490566
DO,2.0,ios,male,True,2017-01-02,41.993,5,2017-01-02,DO,ios,True,56.33,-14.336999999999996,11.266
US,2.0,android,female,True,2017-01-20,147.0,13,2017-01-20,US,android,True,637.6599999999999,-490.65999999999985,49.05076923076922
AU,1.0,ios,female,False,2017-01-05,83.986,11,2017-01-05,AU,ios,False,0.0,83.986,0.0
US,2.0,android,male,True,2017-01-08,1397.033,87,2017-01-08,US,android,True,3183.63,-1786.5970000000002,36.59344827586207
MX,2.0,android,female,True,2017-01-11,160.1350899491301,19,2017-01-11,MX,android,True,124.21,35.92508994913011,6.537368421052631
CH,6.0,ios,male,True,2017-01-12,41.993,3,2017-01-12,CH,ios,True,0.0,41.993,0.0
ZA,1.0,ios,female,False,2017-01-15,20.993000000000002,4,2017-01-15,ZA,ios,False,0.0,20.993000000000002,0.0
US,3.0,ios,female,True,2017-01-16,272.95099999999996,33,2017-01-16,US,ios,True,1451.4699935913086,-1178.5189935913086,43.983939199736625
CA,2.0,ios,female,True,2017-01-16,209.951,27,2017-01-16,CA,ios,True,736.68,-526.7289999999999,27.284444444444443
GB,2.0,ios,female,True,2017-01-21,62.986000000000004,6,2017-01-21,GB,ios,True,139.01000000000002,-76.02400000000002,23.168333333333337
US,18.0,android,female,True,2017-01-22,147.0,24,2017-01-22,US,android,True,1093.379992067814,-946.3799920678141,45.55749966949225
JP,1.0,ios,female,False,2017-01-24,41.993,1,2017-01-24,JP,ios,False,0.0,41.993,0.0
ES,1.0,ios,female,False,2017-01-24,272.944,23,2017-01-24,ES,ios,False,0.0,272.944,0.0
CA,2.0,ios,male,True,2017-01-30,121.596,13,2017-01-30,CA,ios,True,461.89999999999986,-340.30399999999986,35.530769230769224
SA,2.0,ios,male,True,2017-01-01,20.993000000000002,1,2017-01-01,SA,ios,True,0.0,20.993000000000002,0.0
US,18.0,android,male,True,2016-10-02,289.02,24,2016-10-02,US,android,True,1160.0799916386604,-871.0599916386604,48.336666318277516
US,2.0,ios,female,True,2016-10-03,41.986000000000004,11,2016-10-03,US,ios,True,469.54,-427.55400000000003,42.68545454545455
US,2.0,android,male,True,2016-10-04,205.01,20,2016-10-04,US,android,True,771.91,-566.9,38.5955
GB,1.0,ios,female,False,2016-10-05,83.979,8,2016-10-05,GB,ios,False,0.0,83.979,0.0
BR,11.0,android,male,False,2016-10-08,0.0,1,2016-10-08,BR,android,False,0.0,0.0,0.0
FR,18.0,ios,male,True,2016-10-21,0.0,1,2016-10-21,FR,ios,True,11.18000003695488,-11.18000003695488,11.18000003695488
US,1.0,android,female,False,2016-10-22,254.60017026506802,16,2016-10-22,US,android,False,0.0,254.60017026506802,0.0
CA,18.0,ios,female,True,2016-10-25,0.0,1,2016-10-25,CA,ios,True,40.719999372959144,-40.719999372959144,40.719999372959144
US,1.0,ios,male,False,2016-11-17,272.944,35,2016-11-17,US,ios,False,0.0,272.944,0.0
US,1.0,ios,female,False,2016-11-24,174.972,18,2016-11-24,US,ios,False,0.0,174.972,0.0
SA,1.0,ios,female,False,2016-12-12,20.993000000000002,1,2016-12-12,SA,ios,False,0.0,20.993000000000002,0.0
US,1.0,android,male,False,2016-11-30,247.02,13,2016-11-30,US,android,False,0.0,247.02,0.0
US,2.0,android,female,True,2016-12-07,100.02,18,2016-12-07,US,android,True,484.76,-384.74,26.93111111111111
BB,2.0,ios,female,True,2016-12-18,0.0,1,2016-12-18,BB,ios,True,1.83,-1.83,1.83
US,2.0,android,female,True,2016-12-20,61.13,14,2016-12-20,US,android,True,335.56,-274.43,23.96857142857143
US,6.0,ios,female,True,2017-01-02,188.972,10,2017-01-02,US,ios,True,871.5900192260742,-682.6180192260742,87.15900192260742
CH,2.0,ios,male,True,2017-01-03,230.972,19,2017-01-03,CH,ios,True,699.8499999999998,-468.8779999999998,36.83421052631578
US,2.0,android,female,True,2017-01-03,860.38,78,2017-01-03,US,android,True,3091.43,-2231.0499999999997,39.633717948717944
ES,2.0,android,male,True,2017-01-07,117.57198048543181,36,2017-01-07,ES,android,True,838.18,-720.6080195145681,23.282777777777778
CA,2.0,ios,male,True,2017-01-09,125.97200000000001,10,2017-01-09,CA,ios,True,765.45,-639.4780000000001,76.545
CR,1.0,ios,male,False,2017-01-10,20.993000000000002,3,2017-01-10,CR,ios,False,0.0,20.993000000000002,0.0
FR,1.0,android,female,False,2017-01-19,85.13122175070936,5,2017-01-19,FR,android,False,0.0,85.13122175070936,0.0
US,1.0,ios,female,False,2017-01-21,952.76,68,2017-01-21,US,ios,False,0.0,952.76,0.0
